Table ID,Headers
1-1000181-1,State/territory; Text/background colour; Format; Current slogan; Current series; Notes
1-10006830-1,Aircraft; Description; Max Gross Weight; Total disk area; Max disk Loading
1-10007452-3,Order Year; Manufacturer; Model; Fleet Series (Quantity); Powertrain (Engine/Transmission); Fuel Propulsion
1-10015132-1,Player; No; Nationality; Position; Years in Toronto; School/Club Team
1-10015132-14,Player; No; Nationality; Position; Years in Toronto; School/Club Team
1-10015132-2,Player; No; Nationality; Position; Years in Toronto; School/Club Team
1-10015132-21,Player; No; Nationality; Position; Years in Toronto; School/Club Team
1-10015132-3,Player; No; Nationality; Position; Years in Toronto; School/Club Team
1-10015132-7,Player; No; Nationality; Position; Years in Toronto; School/Club Team
1-10020178-1,Name; Canton; Height (meters); Crest length (meters); Type; Year of construction; Name of the Lake
1-10021158-3,Year; Tournaments played; Cuts made*; Wins; 2nd; Top 10s; Best finish; Earnings ($); Money list rank; Scoring average; Scoring rank
1-10023387-1,Player; Years Played; Total W-L; Singles W-L; Doubles W-L
1-1004033-1,Season; Player; Position; Nationality; Team; Draft Pick #; Draft Class; College
1-100518-1,Name; Direction; Mantra; Weapon; Consort; Graha (Planet); Guardian Mātṛkā
1-10054296-1,Member; Headquarters; Classification; Chapters; Founded; UCCFS
1-1007688-1,Year; Typhus; Typhoid fever; Relapsing fever; Smallpox; Malaria
1-10082596-1,School; Location; Founded; Affiliation; Enrollment; Team Nickname; Primary conference
1-1008653-9,Country ( exonym ); Capital ( exonym ); Country ( endonym ); Capital ( endonym ); Official or native language(s) (alphabet/script)
1-1009087-1,Season; Network; Season premiere; Season finale; TV season; Ranking; Viewers (in millions)
1-10118412-6,State/Territory; Asian American Population (2010 Census); Chinese; Filipino; Indian; Japanese; Korean; Vietnamese; Other Asian
1-1011906-1,Regional County Municipality (RCM); Population Canada 2011 Census; Land Area; Density (pop. per km2); Seat of RCM
1-101196-1,County; English name; Irish name; Population; Irish speakers
1-10120207-8,Season; Timeslot ( ET ); Season premiere; Season finale; TV season; Rank; Viewers (millions)
1-10121127-1,UN Operation name; UN Operation title; Location; Dates of Australian involvement; Number of Australians involved; Australian role
1-1012730-1,Year; Starts; Wins; Top 5; Top 10; Poles; Avg. Start; Avg. Finish; Winnings; Position; Team(s)
1-1012730-2,Year; Starts; Wins; Top 5; Top 10; Poles; Avg. Start; Avg. Finish; Winnings; Position; Team(s)
1-10128185-2,Song; Mobiles; Northern Ireland; Northern England; Scotland; Southern England; Wales; Total
1-1013129-1,Pick; Player; Position; Nationality; NHL team; College/junior/club team
1-1013129-10,Pick; Player; Position; Nationality; NHL team; College/junior/club team
1-1013129-11,Pick; Player; Position; Nationality; NHL team; College/junior/club team
1-1013129-8,Pick; Player; Position; Nationality; NHL team; College/junior/club team
1-1013168-2,State (class); Vacator; Reason for change; Successor; Date of successors formal installation
1-1013168-3,District; Vacator; Reason for change; Successor; Date successor seated
1-101336-1,Formula; Notation; T c (K); No of Cu-O planes in unit cell; Crystal structure
1-10138926-1,#; City; 1981 Census; 1991 Census; 2001 Census; 2010 Est.; Region
1-1014319-1,Week; Dance/song; Horwood; Goodman; Dixon; Tonioli; Total; Result
1-1015421-1,Class; Operator; No Built; Year Built; Cars per Set; Unit nos.
1-1015914-24,Case/Suffix; we two; you and I; you two; them two (the two); who-two
1-10160447-1,Position; Driver; Points; Winnings; Series
1-10236830-1,Nomination; Actors Name; Film Name; Director; Country
1-10236830-4,Nomination; Actors Name; Film Name; Director; Country
1-10236830-6,Nomination; Actors Name; Film Name; Director; Country
