Table ID,Types
1-1000181-1,text; text; text; text; text; text
1-10006830-1,text; text; text; text; text
1-10007452-3,text; text; text; text; text; text
1-10015132-1,text; text; dense_vector; text; text; text
1-10015132-14,text; real; dense_vector; text; text; text
1-10015132-2,text; text; dense_vector; text; text; text
1-10015132-21,text; real; dense_vector; text; text; text
1-10015132-3,text; real; dense_vector; text; text; text
1-10015132-7,text; real; dense_vector; text; text; text
1-10020178-1,text; text; real; real; text; real; text
1-10021158-3,real; real; real; real; real; real; text; real; text; text; text
1-10023387-1,text; text; text; text; text
1-1004033-1,real; text; text; dense_vector; text; text; text; text
1-100518-1,text; text; text; text; text; text; text
1-10054296-1,text; text; text; real; text; real
1-1007688-1,text; real; real; real; real; text
1-10082596-1,text; dense_vector; real; text; real; text; text
1-1008653-9,dense_vector; text; text; text; text
1-1009087-1,text; text; text; text; text; text; text
1-10118412-6,text; real; real; real; real; real; real; real; real
1-1011906-1,text; real; text; text; text
1-101196-1,text; text; text; real; text
1-10120207-8,real; text; text; text; text; text; text
1-10121127-1,text; text; dense_vector; text; text; text
1-1012730-1,real; real; real; real; real; real; text; text; text; text; dense_vector
1-1012730-2,real; real; real; real; real; real; text; text; text; text; dense_vector
1-10128185-2,text; real; real; real; real; real; real; real
1-1013129-1,real; text; text; dense_vector; text; text
1-1013129-10,real; text; text; dense_vector; text; text
1-1013129-11,real; text; text; dense_vector; text; text
1-1013129-8,real; text; text; dense_vector; text; text
1-1013168-2,text; text; text; text; text
1-1013168-3,text; text; text; text; text
1-101336-1,text; text; real; real; text
1-10138926-1,real; dense_vector; real; real; real; real; text
1-1014319-1,real; text; text; text; text; text; text; text
1-1015421-1,text; text; real; text; real; text
1-1015914-24,text; text; text; text; text; text
1-10160447-1,real; text; real; text; text
1-10236830-1,text; text; text; text; dense_vector
1-10236830-4,text; text; text; text; dense_vector
1-10236830-6,text; text; text; text; dense_vector
1-10240125-1,text; text; real; real; real; real; real; real
1-10240125-2,text; text; real; real; real; real; real; real
1-10262329-1,text; text; text; text; text
1-10264179-2,real; text; text; text; text; text; dense_vector
1-10269427-3,real; real; text; text; text; text
1-1028356-3,text; real; text; text; text; text; text
1-10284385-1,text; text; text; text; text; text; text; text
1-10295819-1,text; text; text; real; real; text; text; text
1-103084-4,real; text; real; text; text; text
1-10312547-1,text; text; text; text; text; text; text; text; text
1-10321124-1,text; text; text; text; text
